area	bedrooms	bathrooms	floor	age	distance_to_metro	school_proximity	price
1398.685661	5	2	18	16	14.07	7.9	114.6708195
1144.69428	4	1	3	3	6.14	0.37	126.2058733
1459.075415	3	3	6	11	8.57	0.66	147.0826419
1809.211943	2	1	3	12	11.88	0.76	164.7298799
1106.33865	2	3	24	3	10.49	7.34	99.69918747
1106.345217	2	3	10	20	14.93	5.06	92.26303141
1831.685126	5	3	11	0	0.3	3.75	208.8283982
1506.973892	1	4	13	0	5.39	1.15	166.1227964
1012.210246	5	2	12	6	4.29	7.35	123.7525265
1417.024017	4	1	28	8	4.01	3.28	136.4263386
1014.632923	1	2	9	0	3.42	2.73	100.9551856
1013.708099	4	3	17	15	10.67	6.56	97.76269367
1296.784909	1	3	15	17	1.36	5.63	125.163105
434.6879021	5	2	4	21	11.15	3.69	45.74646455
510.032867	2	2	7	14	10.43	6.45	50.33996117
975.0849883	3	1	13	5	3.84	2.79	104.9305823
794.8675519	2	3	4	1	3.87	7.97	89.90690941
1325.698933	5	2	25	8	9.47	2.37	124.5719617
836.7903698	1	4	27	3	11.46	1.67	84.82726358
635.0785195	2	3	23	12	13.16	7.85	74.42725902
1786.259508	5	3	7	22	12.8	7.11	155.283235
1109.68948	4	1	24	21	14.48	1.91	99.96853585
1227.011282	3	4	25	10	8.76	1.25	105.2285651
630.1007255	2	1	5	12	13.64	8.4	51.84900221
982.2469102	1	4	15	10	12.15	7.79	86.93344588
1244.369036	4	1	27	18	13.43	3.34	110.9262636
739.602569	5	4	3	7	0.27	6.62	109.3518508
1350.279207	3	4	11	6	14.49	1.33	125.7799692
959.744524	1	4	10	24	7.16	5.12	95.85557729
1083.3225	5	2	2	15	11.99	0.29	101.7144895
959.3173551	5	3	11	2	2	3.98	133.5942237
1940.911274	2	4	29	16	6	0.84	178.5274527
1194.60111	2	2	4	17	4.14	4.8	108.5436847
776.9156284	1	2	5	27	4.45	4.27	51.57924421
1529.017965	5	1	18	26	1.94	4.5	135.2964475
711.66254	2	3	17	14	12.11	0.55	72.46939795
1283.545438	3	3	15	27	0.24	3.68	117.7835541
416.1319504	3	1	22	16	4.76	7.59	56.4570835
668.7255804	5	3	10	10	2.7	3.75	94.13240395
1278.744494	2	1	4	4	8.88	7.18	97.64941619
1495.386632	1	2	8	15	3.89	3.76	138.0657966
1268.547312	1	2	2	14	3.96	4.29	110.6756741
1153.740687	1	4	29	9	7.38	5.68	105.9416553
1079.558522	3	1	7	13	9.83	9.51	103.9065378
608.5912039	2	2	5	1	1.91	1.18	62.00829858
912.0623166	2	2	3	15	2.72	0.43	81.61064094
1015.744492	3	1	11	18	3.78	6.12	99.08335464
1622.84889	1	2	11	7	14.61	9.5	110.2082182
1337.447316	1	3	24	14	6.02	9.9	107.7803085
494.7839379	5	2	20	9	9.02	4.89	76.13131303
1329.633588	4	1	15	29	3.7	4.73	120.5593959
1045.967088	2	3	9	4	7.41	6.49	87.84906596
929.2311999	2	3	21	19	1.2	5.6	94.8094723
1444.670516	2	2	13	15	0.62	6.38	129.1768051
1612.399809	4	4	12	20	7.08	8.75	143.4730757
1572.512048	5	3	8	25	6.04	7.49	184.6255446
864.3129907	4	1	6	21	2.14	5.02	95.8093181
1076.31505	1	4	11	11	10.35	4.67	93.61458352
1332.505373	1	4	4	22	14.89	6.43	113.5714849
1590.218051	2	3	17	29	6	4.61	132.9195767
1008.330305	3	2	3	12	9.41	4.63	90.4890667
1125.736409	2	4	1	8	14.45	0.26	108.5053728
757.4660104	3	2	2	16	12.49	1.82	77.24018163
721.5173504	4	3	25	19	7.01	4.94	89.11483404
1525.010329	1	1	11	27	11.09	8.24	125.8374821
1742.496011	3	4	2	11	2.01	2.86	183.0747361
1171.195951	4	1	3	24	7.73	5.27	114.7693772
1601.413159	1	2	5	4	4.26	3.52	153.7777273
1344.65441	3	2	11	23	2.5	1.14	140.0073529
941.9520982	2	1	18	11	6.45	9.59	89.54242774
1344.558242	2	3	9	0	2.05	8.56	116.402653
1815.214627	2	3	29	19	10.51	0.88	161.3776182
1185.669584	4	4	0	27	6.9	7.23	128.059338
1825.857462	2	4	16	15	8.01	3.54	155.0964053
300	5	3	15	29	2.28	9.95	43.8834484
1528.761002	1	3	8	11	2.18	3.09	140.1118507
1234.818827	4	1	24	8	8.79	2.46	122.1705468
1080.39706	2	2	20	12	14.78	5.72	83.56875204
1236.704311	1	2	8	16	1.53	8.37	108.976966
404.9724342	3	4	26	16	4.36	2.01	64.69031763
1112.131245	2	3	22	3	13.05	7.12	80.01175691
1342.845029	1	1	8	13	1.18	0.71	122.6913708
1791.157618	5	4	11	18	13.15	9.2	159.3268349
992.6919127	3	1	22	6	7.91	0.9	82.13455734
876.6025588	5	3	8	26	6.18	9.15	97.03420159
999.2971826	1	3	14	2	4.71	4.96	101.4366911
1566.160847	5	3	1	0	4.53	4.54	166.8741603
1331.500444	1	2	10	11	4.66	9.74	119.7408885
988.0959185	1	3	10	14	13.28	9.9	80.40417272
1405.306973	5	4	7	10	10.88	6.54	133.7575745
1238.83102	1	2	22	9	10.08	1.36	114.6523097
1587.457996	2	1	5	1	12	5.11	144.9510148
919.1787624	1	4	20	25	3.93	5.34	73.18822686
1068.935141	4	4	19	28	9.31	5.19	111.9959571
1043.156739	1	1	6	3	6.95	5.74	89.18514032
614.5940207	4	2	2	16	11.76	0.29	73.9517321
1318.448111	1	4	7	16	4.71	7.14	119.6313676
1304.422109	1	4	17	27	9.68	7.15	103.7975282
1202.045383	5	4	16	29	13.24	1.24	122.175732
1106.165147	2	2	10	7	6.09	5.75	100.7538684
633.8517032	2	2	1	22	1.09	5.73	75.61906384
1031.741871	3	2	24	13	7.79	6.86	109.6506613
1062.914193	5	4	20	23	5.25	0.95	113.0023969
879.0890923	5	3	26	28	10.12	6.3	86.47084769
1135.485715	2	1	23	3	14.27	2.88	94.16941082
1361.620343	5	3	18	5	7.34	5.12	146.27818
1954.47436	2	2	6	28	7.05	7.76	171.790511
1269.831125	5	4	17	18	9.85	7.09	110.4188003
1303.020156	1	4	7	26	1.64	1.28	106.0665834
1170.221634	2	3	13	28	3.88	5.95	103.3664739
432.4915139	2	3	6	23	13.79	9.69	34.65862406
1189.39445	4	1	27	3	10.08	1.65	108.8226246
1224.092084	5	4	20	2	0.3	8.54	143.5427689
2185.296845	5	3	27	19	3.15	7.06	197.4861809
1123.055614	2	1	26	5	10.27	7.76	92.34467483
1320.618937	1	2	3	26	11.49	2.89	115.2458072
1186.115292	1	3	16	22	12.61	2.95	91.96589224
732.528785	1	2	4	6	4.45	9.07	65.3990546
1657.129126	5	1	11	13	13.97	3.66	150.6959488
1500.773213	4	2	8	11	8.34	0.72	155.9007641
1516.412779	2	4	25	15	10.48	6.05	132.9667991
836.2450181	3	4	19	19	8.99	1.34	81.95719088
1761.117724	4	2	12	7	1.93	7.99	175.4726718
639.2595749	3	4	24	22	14.45	6.45	67.76812264
1434.742838	4	1	27	1	1.93	8.76	154.4020416
2076.18225	1	4	17	12	3.9	7.87	180.7619535
803.7854699	5	2	19	7	12.22	1.21	95.92258916
973.4809082	3	2	8	24	9.32	3.87	95.50238875
1239.860546	4	2	3	20	12.59	7.77	110.6834728
998.6097384	5	3	20	19	7.78	4.23	119.8631924
579.7346276	3	2	26	15	5.72	9.73	66.74461181
1227.42519	2	1	7	3	13.84	7.38	121.0106727
775.0785145	4	4	0	28	0.64	0.25	103.2153864
1389.436972	2	4	16	15	12.86	8.81	98.90786181
832.2303063	1	3	24	19	3.54	1.1	76.96670313
1819.973762	2	3	8	5	12.75	1.49	144.4274495
886.6986831	2	1	19	26	2.17	7.37	71.0476883
1071.175394	4	2	12	3	8.75	8.66	104.0524102
1525.406887	1	3	1	15	13.33	5.41	131.8958112
707.6542734	2	4	12	22	7.16	2.96	67.25578332
1290.983974	5	3	8	22	11.22	3.58	138.8928005
1722.857102	3	3	29	20	12.09	3.49	142.8432564
557.0067062	2	2	19	12	11.07	3.33	50.72775447
1273.853543	1	3	5	4	13.89	2.5	97.84318147
1303.953118	2	1	27	14	6.76	6.13	126.7457302
1512.729149	3	4	0	25	2.68	9.01	155.8776989
705.2197156	1	2	27	7	0.81	3.14	74.1123285
671.8173548	4	4	24	6	3.77	1.95	76.85473059
1408.776626	1	1	4	13	2.23	8.4	117.7242587
1318.793869	4	1	2	6	8.41	7.44	126.7810572
1300.19714	1	3	3	21	2.86	9.32	105.2791474
1338.579284	3	3	0	6	0.68	1.74	164.386863
927.9901114	3	3	13	22	0.64	1.53	118.5006236
1292.901479	1	4	8	25	12.49	5.46	86.08790591
1317.228989	2	1	29	29	8.91	6.18	91.70428221
914.2594328	3	2	23	17	5.44	4.85	94.81998308
1946.309804	4	3	3	29	13.42	6.03	153.5580008
1389.533168	4	4	17	9	1.15	1.89	152.5997051
723.4786011	5	3	13	17	14.71	4.85	76.95333136
1462.621443	4	1	24	13	9.28	6.62	131.6820372
810.1273319	5	2	3	9	2.83	4.38	109.5981864
1514.833841	1	1	24	6	10.22	6.83	141.5329011
1663.438232	1	4	9	29	11.47	4.57	137.1158338
871.7270727	1	3	2	25	6.5	3.4	63.59737286
1585.350452	2	1	22	6	12.94	3.11	135.2508924
1365.112371	2	4	6	6	2.35	4.17	131.2114791
1528.824064	5	3	9	4	4.25	0.33	183.8646598
1958.717193	4	2	12	0	1.49	6.72	197.4649906
1101.844754	4	1	3	13	3.24	8.47	113.0087747
898.5055343	1	3	17	17	3.66	3.61	91.59650188
844.1942281	3	3	10	12	13.77	0.56	83.17990518
873.675886	2	3	24	24	1.26	9.87	95.0066218
1169.159316	2	3	3	7	6.47	2.71	108.3918553
1336.46079	1	1	23	7	8.03	1.35	125.3012393
1310.67632	2	3	13	9	13.49	3.76	131.0781329
1530.8733	1	4	17	16	14.97	7.41	114.4383778
1205.200757	5	1	7	5	11.33	3.01	124.2886285
1781.413631	4	3	26	14	14.56	5.79	161.5746281
1094.137267	3	1	9	14	11.83	4.21	85.22183382
2288.067667	4	4	4	24	14.45	1.27	185.9995985
1450.266939	4	4	22	15	10.64	3.37	130.8973764
857.1369774	5	1	6	7	1.29	7.28	100.1782066
771.6430008	2	3	11	18	6.09	6.16	78.68410933
1392.988966	3	3	24	19	9.73	1.29	124.534905
1110.614886	2	4	2	14	5.33	1.72	130.3836109
1485.600198	4	3	25	2	4.17	6.44	161.9537755
1389.29505	1	4	3	5	8.7	8.15	128.2103957
1170.868435	4	3	9	29	14.01	3.56	99.20500141
861.2825128	2	4	3	24	0.62	5.99	89.0649171
594.0611101	4	2	14	7	11.56	1.79	80.73643531
1021.394019	1	3	28	15	10.87	3.18	96.82365959
1542.559518	5	3	9	14	14.46	0.3	156.9047449
1285.637498	2	3	20	12	13.97	7.71	104.882342
701.7044885	4	1	29	25	11.46	4.07	59.39941746
1269.27237	2	3	21	19	7.85	8.18	95.80403996
1354.126952	5	1	15	14	3.14	7.11	140.1596071
846.4570255	4	1	14	17	8.22	8.3	65.52732409
1261.490042	4	4	18	12	11.5	2.93	125.6200997
1223.283487	2	1	28	23	13.45	1.93	92.47604844
742.8118809	2	1	19	7	11.87	9.72	64.12959909
1343.114944	1	2	18	13	3.01	7.2	129.23273
1424.313811	5	3	17	27	9.04	8.36	145.4456109
1633.220497	1	1	25	10	5.05	0.23	149.437497
1621.520821	4	3	11	5	0.24	3.61	160.4031316
648.9322528	2	1	24	29	3.08	7.45	55.53524205
824.869984	4	4	15	23	1.79	0.87	89.9079578
1406.014107	4	2	0	24	12.66	5.72	115.1710074
1405.51438	3	1	15	28	3.95	4.35	128.0453327
1406.019075	3	3	1	0	4.34	0.27	136.3154302
2741.092596	4	4	23	24	14.4	2.44	230.5113426
1428.356204	2	3	14	1	5.75	2.92	127.8346393
1654.226256	4	4	6	29	0.24	1.21	170.1650727
1581.600705	3	2	27	12	4.33	6.35	142.6465662
1460.556501	2	4	0	0	1.88	2.5	127.4250305
1073.892302	4	3	4	23	1.63	2.85	130.5117941
1503.587688	5	3	9	23	1.25	8.99	159.2287863
890.8699142	5	1	21	26	8.94	4.72	66.61254414
1105.272557	4	4	20	3	2.92	3.98	134.5821174
1005.854581	2	3	3	23	5.48	7.27	105.8033362
1232.749656	4	1	13	22	12.94	9.11	100.939373
2125.863427	4	2	12	28	6.42	0.35	190.5753854
453.093923	3	3	0	1	13.74	4.54	51.44035275
1474.504076	5	1	15	20	7.52	6.15	142.2137185
554.9136515	3	3	22	29	6.04	3.25	69.37682973
1011.227254	3	4	8	25	11.28	7.75	78.75124867
1635.580239	4	1	21	19	1.19	9.72	143.080797
1225.712008	3	4	15	15	1.43	9.44	124.3054314
768.9020888	5	2	18	2	9.81	2.73	95.65835236
913.8785163	3	4	14	16	7.36	2.34	100.4808443
1471.8391	5	1	25	4	11.88	9.58	134.9019257
907.8533473	3	3	13	25	13.75	4.64	70.09567506
1286.583436	5	1	19	7	5.89	2.16	143.4832956
1218.228736	3	4	9	11	8.99	7.1	105.2738203
939.359861	3	4	20	24	7.56	2.92	88.81802514
2057.577636	2	3	11	22	14.73	2.75	167.9083401
1453.567609	5	2	27	11	12.48	8.8	139.6207987
389.9429653	5	1	0	26	13.68	1.71	40.49273202
1274.581726	5	3	20	0	3.89	0.74	153.2372937
935.2854141	1	3	16	0	11.61	2.76	100.1907201
